ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0006228,UTP biosynthetic process,3/62,10/18870,3.9872309962577275e-6,0.005020235938886641,0.0036429578870029173,NME3/NME1/NME2,3,Unicellular
GO:0006183,GTP biosynthetic process,3/62,11/18870,5.469594614132376e-6,0.005020235938886641,0.0036429578870029173,NME3/NME1/NME2,3,Unicellular
GO:0046051,UTP metabolic process,3/62,12/18870,7.275704259256001e-6,0.005020235938886641,0.0036429578870029173,NME3/NME1/NME2,3,Unicellular
GO:0006241,CTP biosynthetic process,3/62,14/18870,1.1981644154474636e-5,0.00502348740782209,0.003645317330771484,NME3/NME1/NME2,3,Unicellular
GO:0009209,pyrimidine ribonucleoside triphosphate biosynthetic process,3/62,15/18870,1.4941972934096301e-5,0.00502348740782209,0.003645317330771484,NME3/NME1/NME2,3,Unicellular
GO:0010975,regulation of neuron projection development,9/62,453/18870,1.6059132816914903e-5,0.00502348740782209,0.003645317330771484,GATA3/CRMP1/DPYSL3/CERS2/EPHB3/SLIT2/KLF4/EP300/PTEN,9,Unicellular
GO:0046036,CTP metabolic process,3/62,16/18870,1.8347048495063765e-5,0.00502348740782209,0.003645317330771484,NME3/NME1/NME2,3,Unicellular
GO:0007015,actin filament organization,9/62,464/18870,1.9414444088201316e-5,0.00502348740782209,0.003645317330771484,BIN1/GSN/PFN1/DPYSL3/LIMA1/RNH1/RND3/RHOBTB2/SLIT2,9,Unicellular
GO:0060253,negative regulation of glial cell proliferation,3/62,17/18870,2.2226385667524846e-5,0.005112068703530715,0.0037095967657962523,SOX11/DICER1/CERS2,3,Unicellular
GO:0009208,pyrimidine ribonucleoside triphosphate metabolic process,3/62,18/18870,2.6609208800631755e-5,0.005508106221730773,0.003996983258789633,NME3/NME1/NME2,3,Unicellular
GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process,3/62,19/18870,3.1524453577474386e-5,0.005932328991397453,0.004304822512445545,NME3/NME1/NME2,3,Unicellular
GO:2000146,negative regulation of cell motility,8/62,388/18870,3.811073194418831e-5,0.006574101260372484,0.00477052758634708,GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,8,Unicellular
GO:0048511,rhythmic process,7/62,296/18870,5.117442297809836e-5,0.008148542735743355,0.005913028468805374,MAGED1/KDM5B/NOS2/SLIT2/KLF10/EP300/PTEN,7,Unicellular
GO:0009220,pyrimidine ribonucleotide biosynthetic process,3/62,24/18870,6.507977115270038e-5,0.008981008419072652,0.006517111118238838,NME3/NME1/NME2,3,Unicellular
GO:0046039,GTP metabolic process,3/62,24/18870,6.507977115270038e-5,0.008981008419072652,0.006517111118238838,NME3/NME1/NME2,3,Unicellular
GO:0040013,negative regulation of locomotion,8/62,423/18870,6.995589135128302e-5,0.008983952961453929,0.00651924783930575,GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,8,Unicellular
GO:0009147,pyrimidine nucleoside triphosphate metabolic process,3/62,25/18870,7.37812562051772e-5,0.008983952961453929,0.00651924783930575,NME3/NME1/NME2,3,Unicellular
GO:0010977,negative regulation of neuron projection development,5/62,140/18870,9.640535917823113e-5,0.01108661630549658,0.008045055412124903,CRMP1/DPYSL3/CERS2/SLIT2/PTEN,5,Unicellular
GO:0008064,regulation of actin polymerization or depolymerization,5/62,154/18870,1.5089718023435054e-4,0.015118147350505987,0.010970554929657792,BIN1/GSN/PFN1/LIMA1/SLIT2,5,Unicellular
GO:0009218,pyrimidine ribonucleotide metabolic process,3/62,32/18870,1.565244298568013e-4,0.015118147350505987,0.010970554929657792,NME3/NME1/NME2,3,Unicellular
